dataset,type,model_file,threshold,lobes,sites,avg_fps,render_output_dir,base_model_dir,mean_culled_gaussians,culled_gaussians_percent,SSIM,FLIP,baseline_avg_fps
drums,SV,sv_s15_t0_01_temp5.npz,0.3,,15.0,252.47,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,119142.41,35.36,1.0,0.0019,241.58333333333334
drums,SV,sv_s15_t0_01_temp5.npz,0.4,,15.0,258.56,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,129974.38,38.58,1.0,0.0024,241.58333333333334
drums,SV,sv_s15_t0_01_temp5.npz,0.5,,15.0,263.8,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,140867.85,41.81,1.0,0.003,241.58333333333334
drums,SV,sv_s15_t0_01_temp5.npz,0.6,,15.0,271.14,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,152838.93,45.36,0.999,0.0039,241.58333333333334
drums,SV,sv_s15_t0_01_temp5.npz,0.7,,15.0,282.32,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,167062.03,49.59,0.998,0.0057,241.58333333333334
drums,SV,sv_s15_t0_01_temp5.npz,0.8,,15.0,295.86,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,185489.68,55.06,0.996,0.0094,241.58333333333334
drums,SV,sv_s15_t0_01_temp5.npz,0.9,,15.0,321.39,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,213641.89,63.41,0.986,0.0198,241.58333333333334
drums,SV,sv_s8_t0_01_temp5.npz,0.1,,8.0,266.65,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,85441.17,25.36,1.0,0.001,241.58333333333334
drums,SV,sv_s8_t0_01_temp5.npz,0.2,,8.0,274.26,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,101608.46,30.16,1.0,0.0015,241.58333333333334
drums,SV,sv_s8_t0_01_temp5.npz,0.3,,8.0,281.52,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,113474.8,33.68,1.0,0.0019,241.58333333333334
drums,SV,sv_s8_t0_01_temp5.npz,0.4,,8.0,288.3,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,124314.46,36.9,1.0,0.0023,241.58333333333334
drums,SV,sv_s8_t0_01_temp5.npz,0.5,,8.0,295.09,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,135419.62,40.19,1.0,0.003,241.58333333333334
drums,SV,sv_s8_t0_01_temp5.npz,0.6,,8.0,303.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,147976.95,43.92,0.999,0.0041,241.58333333333334
drums,SV,sv_s8_t0_01_temp5.npz,0.7,,8.0,315.4,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,163413.61,48.5,0.998,0.006,241.58333333333334
drums,SV,sv_s8_t0_01_temp5.npz,0.8,,8.0,330.9,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,184102.49,54.64,0.995,0.0103,241.58333333333334
drums,SV,sv_s8_t0_01_temp5.npz,0.9,,8.0,367.18,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,215605.11,63.99,0.984,0.0222,241.58333333333334
lego,BASELINE,no_culling,0.0,N/A,N/A,234.9666666666667,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51\baseline_benchmark,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,0.0,0.0,1.0,0.0,234.9666666666667
lego,SG,sg_l10_t0_01.npz,0.1,10.0,,243.82,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,83854.63,26.61,1.0,0.0008,234.9666666666667
